KT.TXT	Home to Kaynes Technologies Cycle
Test Time, secs Target Speed, mph
163	12.84374
164	13.03636
165	13.22899
166	13.42161
167	13.42161
168	13.42161
169	13.87729
170	14.33296
171	14.78863
172	16.69417
173	18.59971
174	20.50524
175	21.57711
176	22.64897
177	23.72084
178	24.7927
179	25.16553
180	25.53835
181	26.32542
182	27.11249
183	27.89956
184	26.56361
185	25.22766
186	25.63155
187	26.03544
188	25.72476
189	25.41407
190	24.51309
191	23.6121
192	22.71111
193	21.81012
194	22.64897
195	23.48782
196	24.32667
197	25.16553
198	25.91117
199	26.65682
200	27.40246
201	26.22186
202	24.48202
203	22.74218
204	22.07938
205	21.41659
206	20.75379
207	16.52847
208	15.19252
209	13.85657
210	12.52063
211	11.18468
212	13.00219
213	14.8197
214	16.63721
215	18.45472
216	20.50524
217	22.55577
218	23.6121
219	24.66843
220	25.72476
221	27.65101
222	29.57726
223	30.19863
224	30.82
225	30.57145
226	30.3229
227	30.10542
228	29.88795
229	27.9617
230	26.03544
231	24.10919
232	24.38881
233	24.66843
234	24.94805
235	25.22766
236	25.47621
237	25.72476
238	25.97331
239	26.15972
240	26.34613
241	26.53254
242	26.71895
243	25.67816
244	24.63736
245	23.59656
246	22.55577
247	17.05663
248	11.5575
249	12.39635
250	13.2352
251	14.07405
252	14.9129
253	15.55499
254	16.19707
255	16.83915
256	15.37893
257	13.91871
258	12.45849
259	10.99827
260	12.33865
261	13.67904
262	15.01942
263	16.35981
264	17.7002
265	19.04058
266	20.38097
267	21.35963
268	22.33829
269	23.31695
270	24.29561
271	23.13054
272	21.96546
273	20.80039
274	19.63532
275	18.56346
276	17.49159
277	16.41973
278	15.34786
279	13.04879
280	10.74972
281	8.45065
282	6.15157
283	8.04054
284	9.92951
285	11.81848
286	13.70744
287	15.59641
288	18.01976
289	20.44311
290	21.64442
291	22.84574
292	24.04706
293	25.19659
294	26.34613
295	27.49567
296	28.6452
297	27.57334
298	26.50147
299	25.42961
300	24.35774
301	23.79851
302	23.23928
303	22.68004
304	22.18294
305	21.68585
306	21.4373
307	21.18875
308	20.9402
309	18.29938
310	15.65855
311	14.25011
312	12.84167
313	11.43323
314	10.02479
315	8.61634
316	7.2079
317	8.31602
318	9.42413
319	10.53224
320	11.64035
321	12.74846
322	13.85657
323	15.06825
324	16.27992
325	17.49159
326	18.70327
327	19.91494
328	21.12661
329	21.99653
330	22.86645
331	23.73637
332	24.60629
333	24.60629
334	24.60629
335	24.60629
336	24.60629
337	24.66843
338	24.73057
339	25.27427
340	25.81797
341	26.36166
342	26.90536
343	27.24712
344	27.58887
345	27.93063
346	28.27238
347	26.69824
348	25.1241
349	23.54996
350	23.7778
351	24.00563
352	24.23347
353	23.88136
354	23.52925
355	23.17714
356	23.4464
357	23.71566
358	23.98492
359	23.92278
360	23.86065
361	24.89626
362	25.93188
363	26.9675
364	26.44969
365	25.93188
366	25.41407
367	24.89626
368	24.37846
369	23.86065
370	23.04044
371	22.22023
372	21.40002
373	20.57981
374	19.7596
375	17.95762
376	16.15565
377	14.35367
378	15.86049
379	17.36732
380	18.87414
381	20.38097
382	20.38097
383	20.38097
384	20.38097
385	20.38097
386	20.46382
387	20.54667
388	20.62952
389	21.77905
390	22.92859
391	23.33248
392	23.73637
393	24.14026
394	24.54415
395	25.72476
396	26.90536
397	27.26265
398	27.61994
399	27.97723
400	28.33452
401	28.03937
402	27.74422
403	27.44906
404	27.15391
405	26.36684
406	25.57977
407	24.7927
408	23.79851
409	23.54996
410	23.30141
411	23.42569
412	23.54996
413	24.66843
414	25.7869
415	25.72476
416	25.66262
417	26.31506
418	26.9675
419	27.58887
420	28.21024
421	28.43808
422	28.66592
423	28.89375
424	28.33452
425	28.24131
426	28.14811
427	28.58307
428	29.01803
429	28.48986
430	27.9617
431	28.36559
432	28.76948
433	28.80055
434	28.83161
435	29.20444
436	29.57726
437	29.39085
438	29.20444
439	29.35978
440	29.51512
441	29.6394
442	29.76367
443	30.07436
444	30.38504
445	29.57726
446	28.76948
447	28.31381
448	27.85813
449	27.40246
